id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_0165	今天是星期一。	Jīntiān shì Xīngqīyī.	今日は月曜日です。	daily	1	A	sensei	tired	今天是星期一，又要上班了。	Jīntiān shì Xīngqīyī, yòu yào shàngbān le.	今日は月曜日ですね、また一週間が始まります。	B	me	sad	别提了，我感觉好累。	Bié tí le, wǒ gǎnjué hǎo lèi.	言わないでください、もう疲れちゃいましたよ。	現在の日時を確認する基本文です。中国語の曜日は数字で表し、月曜日が「一」で数え始めます。
phrase_0166	星期天不用去学校。	Xīngqītiān bú yòng qù xuéxiào.	日曜日は学校に行かなくていいです。	daily	1	A	dog	happy	明天是星期天不用去学校了。	Míngtiān shì Xīngqītiān bú yòng qù xuéxiào le.	明日は日曜日だから学校に行かなくていいね。	B	cat	happy	太棒了！我们去游乐园吧。	Tài bàng le! Wǒmen qù yóulèyuán ba.	最高！遊園地に行こうよ。	日曜日だけは数字の7を使わず「星期天」または「星期日」と表します。「不用（～する必要がない）」も便利な単語。
phrase_0167	今年我二十五岁。	Jīnnián wǒ èrshíwǔ suì.	今年私は25歳になります。	daily	1	A	panda	happy	你今年多大了？	Nǐ jīnnián duō dà le?	今年でいくつになったの？	B	me	normal	今年我二十五岁啦。	Jīnnián wǒ èrshíwǔ suì la.	今年で25歳ですよ。	年齢を尋ねられた時の答え方。「今年(jīnnián)」を主語の前後につけることで、現在の属性状態を示します。
phrase_0168	明年我想去旅行。	Míngnián wǒ xiǎng qù lǚxíng.	来年私は旅行に行きたいです。	daily	1	A	sensei	happy	如果工作不忙，明年我想去旅行。	Rúguǒ gōngzuò bù máng, míngnián wǒ xiǎng qù lǚxíng.	もし仕事が忙しくなければ、来年私は旅行に行きたいな。	B	cat	happy	好主意！记得带我去！	Hǎo zhǔyì! Jìde dài wǒ qù!	いいアイデア！私も連れて行ってね！	「明（あくる）年」。来年の抱負や希望（想＝〜したい）を語る時の定番フレームです。
phrase_0169	这是我去年买的衣服。	Zhè shì wǒ qùnián mǎi de yīfu.	これは私が去年買った服です。	shopping	1	A	dog	normal	这件外套很好看，新买的吗？	Zhè jiàn wàitào hěn hǎokàn, xīn mǎi de ma?	このコートすごく似合うね、新しく買ったの？	B	panda	normal	不是，这是我去年买的衣服。	Bú shì, zhè shì wǒ qùnián mǎi de yīfu.	ちがうよ、これは私が去年買った服なの。	「去（去りし）年」で昨年のこと。過去の出来事を説明する際に名詞を修飾する「的」と組み合わせて使います。
phrase_0170	祝你生日快乐！	Zhù nǐ shēngrì kuàilè!	お誕生日おめでとう！	daily	1	A	me	happy	祝你生日快乐！这是送给你的礼物。	Zhù nǐ shēngrì kuàilè! Zhè shì sòng gěi nǐ de lǐwù.	お誕生日おめでとう！これ、あなたへのプレゼント。	B	cat	happy	谢谢你，我很喜欢！	Xièxie nǐ, wǒ hěn xǐhuan!	ありがとう、すごく気に入ったよ！	全世界共通の「Happy Birthday」の表現。「祝（祈る・祝う）」から始まるフレーズは人に幸運を祈る時の強力な武器です。
phrase_0171	一月一号是元旦。	Yīyuè yí hào shì yuándàn.	1月1日は元旦です。	daily	1	A	sensei	normal	你知道中国的一月一号是什么节日吗？	Nǐ zhīdào Zhōngguó de yīyuè yí hào shì shénme jiérì ma?	中国の1月1日が何の祝日か知っていますか？	B	panda	normal	一月一号是元旦对吧？	Yīyuè yí hào shì yuándàn duì ba?	1月1日は元旦ですよね？	中国では旧正月の「春節(Chūn Jié:通常1月下旬〜2月)」がメインですが、新暦の1月1日は「元旦(Yuándàn)」といって休みになります。
phrase_0172	今天是几月几号？	Jīntiān shì jǐ yuè jǐ hào?	今日は何月何日ですか？	daily	1	A	dog	normal	突然忘了，今天是几月几号？	Tūrán wàng le, jīntiān shì jǐ yuè jǐ hào?	急にど忘れしちゃった、今日は何月何日だっけ？	B	cat	normal	今天是五月十五号。	Jīntiān shì wǔyuè shíwǔ hào.	今日は5月15日だよ。	日付を確認する時に使います。「号(hào)」は日にちの他に、部屋番号などを聞く「号码(番号)」の略としても使われます。
phrase_0173	太晚了，该休息了。	Tài wǎn le, gāi xiūxi le.	もう遅いですよ、ゆっくり休んでくださいね。	daily	1	A	me	tired	已经凌晨两点了，还在加班。	Yǐjīng língchén liǎng diǎn le, hái zài jiābān.	もう深夜2時なのに、まだ残業しているんです。	B	panda	sad	太晚了，该休息了，明天再做吧。	Tài wǎn le, gāi xiūxi le, míngtiān zài zuò ba.	もう遅いですよ、ゆっくり休んでください。続きはまた明日にしましょう。	「晚（遅い）」。時間的に遅くて相手の体調が心配な時や、切り上げを促す時に「该〜了（〜するべき時間だ）」とセットで使います。
phrase_0174	我们来不及了！	Wǒmen láibují le!	私たちもう間に合わない！	daily	2	A	dog	angry	火车还有两分钟就开了，我们来不及了！	Huǒchē hái yǒu liǎng fēnzhōng jiù kāi le, wǒmen láibují le!	出発まであと2分だ、もう間に合わないよ！	B	cat	sad	那就改签下一班吧。	Nà jiù gǎi qiān xià yì bān ba.	じゃあ次の便に変更しよう。	「来得及（間に合う）」の否定である「来不及」。遅刻ギリギリ、もう絶対無理だと思った時に絶望感と共に飛び出す一言です。
phrase_0175	剩下的时间不多了。	Shèngxià de shíjiān bù duō le.	残された時間はもう多くない。	daily	2	A	sensei	tired	考试还剩十分钟，剩下的时间不多了。	Kǎoshì hái shèng shífēnzhōng, shèngxià de shíjiān bù duō le.	テストはあと10分、残された時間はないぞ。	B	me	sad	我还有好几道题没做。	Wǒ hái yǒu hǎo jǐ dào tí méi zuò.	まだ何問も解いてないのに。	「不多（多くない）」で「もうタイムリミット寸前だ」という切迫感を表します。急いでいる時に会議を切り上げる際にも便利です。
