id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_986	不管怎样。	Bùguǎn zěnyàng.	とにかく。	basic	1	A	先生	普通	不管怎样，你尽力就好。	Bùguǎn zěnyàng, nǐ jìnlì jiù hǎo.	とにかく、君は全力を尽くせばいい。	B	私	普通	谢谢。	Xièxie.	ありがとうございます。	色々な状況や言い訳を一旦横に置いて、結論を言う時に使います。
phrase_987	到底怎么回事？	Dàodǐ zěnme huí shì?	一体どういうこと？	basic	1	A	A	normal	猫	泣く	都是我不对……	Dōu shì wǒ búduì...	Dōu shì wǒ búduì...	normal	全部私が悪いの……	B	私	ただ尋ねるだけでなく「真相を知りたい！」という強い気持ちがこもった問いかけです。
phrase_988	别骗我。	Bié piàn wǒ.	嘘をつかないで。	basic	1	A	犬	普通	我今天没去唱歌，在家里学习呢。	Wǒ jīntiān méi qù chànggē, zài jiā li xuéxí ne.	今日はカラオケに行ってないよ、家で勉強してた。	B	私	怒る	别骗我。	Bié piàn wǒ.	嘘をつかないで。	相手がごまかそうとしているのを見抜いた時や、ふざけたウソをたしなめる時に使います。
phrase_989	说来话长。	Shuō lái huà cháng.	話せば長くなる。	basic	1	A	猫	普通	你们怎么分手了？	Nǐmen zěnme fēnshǒu le?	あの二人、どうして別れちゃったの？	B	私	悲しい	说来话长。	Shuō lái huà cháng.	話せば長くなる。	事情が複雑で短く説明できないことや、少し語りたくない過去をぼかしたい時に便利です。
phrase_990	这也难怪。	Zhè yě nánguài.	それも無理はない。	basic	1	A	犬	普通	他连着加了三天班，所以病倒了。	Tā liánzhe jiāle sān tiān bān, suǒyǐ bìngdǎo le.	彼、三日連続で残業して倒れちゃったんだ。	B	私	普通	这也难怪。	Zhè yě nánguài.	それも無理はない。	理由を聞いて「なるほど、それならそうなるのも当然だね」と納得する表現。
phrase_991	不是我的错。	Bú shì wǒ de cuò.	私のせいじゃない。	basic	1	A	先生	怒る	なぜレポートが完成していないんですか？	Wèishénme méi wánchéng bàogào?	なぜレポートが完成していないんですか？	B	私	普通	不是我的错。	Bú shì wǒ de cuò.	私のせいじゃない。	自分の責任を真っ向から否定し、防衛する時の言葉です。
phrase_992	你太过分了。	Nǐ tài guòfèn le.	ひどすぎます。	basic	1	A	猫	普通	我把你的秘密告诉大家了。	Wǒ bǎ nǐ de mìmì gàosu dàjiā le.	君の秘密、みんなに言っちゃった。	B	私	怒る	你太过分了。	Nǐ tài guòfèn le.	最低！あんまりだよ……。	相手の言動が度を越して失礼だったり、人を傷つけるようなものだった時に、「それはやりすぎだ」「あんまりだ」と本気で憤る時の決まり文句です。
phrase_993	随便吃。	Suíbiàn chī.	遠慮なく食べて。	basic	1	A	犬	普通	这些点心是可以拿的吗？	Zhèxiē diǎnxīn shì kěyǐ ná de ma?	このお菓子、もらってもいいの？	B	私	笑う	随便吃。	Suíbiàn chī.	遠慮なく食べて。	お客さんなどに対して「お好きにどうぞ、たくさん食べてね」と歓迎する温かい一言。
phrase_994	随时联系。	Suíshí liánxì.	いつでも連絡して。	basic	1	A	猫	普通	那我有什么问题再问你。	Nà wǒ yǒu shénme wèntí zài wèn nǐ.	じゃあ、何か聞きたいことがあったらまた聞くね。	B	私	笑う	随时联系。	Suíshí liánxì.	いつでも連絡して。	サポートや気遣いを示す言葉で、親切な印象を与えて会話を締めることができます。
phrase_995	原来如此。	Yuánlái rúcǐ.	なるほど。	basic	1	A	先生	普通	因为下属辞职了，所以他才这么忙。	Yīnwèi xiàshǔ cízhí le, suǒyǐ tā cái zhème máng.	部下が辞めたから、彼はあんなに忙しいんだよ。	B	私	笑う	原来如此。	Yuánlái rúcǐ.	なるほど。	わからなかった謎が解けた時や、話の裏側を知って深く納得した時によく使います。
phrase_996	真是太巧了。	Zhēn shì tài qiǎo le.	すごい偶然だね。	basic	1	A	猫	普通	実は私も北京に住んでいたことがあるんだ。	Qíshí wǒ yě zhù zài Běijīng guò.	実は私も北京に住んでいたことがあるんだ。	B	私	驚く	真是太巧了。	Zhēn shì tài qiǎo le.	すごい偶然だね。	思いがけない共通点を見つけた時や、驚くべき奇跡が起きた時に感動や驚きを表します。
phrase_997	真是帮了大忙。	Zhēn shì bāng le dà máng.	本当に助かったよ。	basic	1	A	犬	普通	ファイル、見つけておいたよ。	Wénjiàn gěi nǐ zhǎo huílái le.	書類、見つけておいたよ。	B	私	笑う	真是帮了大忙。	Zhēn shì bāng le dà máng.	本当に助かったよ。	ピンチの時に助っ人が来てくれたり、本当に感謝している時に最上級の感謝として使います。
phrase_998	别勉强。	Bié miǎnqiǎng.	無理しないで。	basic	1	A	A	normal	猫	泣く	私、まだもう一杯飲めるわ。	Wǒ hái néng zài hē yì bēi.	Wǒ hái néng zài hē yì bēi.	normal	私、まだもう一杯飲めるわ。	B	私	相手の体調や状況を思いやり、キャパオーバーにならないよう止めてあげる優しい一言。
phrase_999	请多关照。	Qǐng duō guānzhào.	よろしくお願いします。	basic	1	A	先生	普通	我是新来的，请多关照。	Wǒ shì xīn lái de, qǐng duō guānzhào.	新しく来ました、よろしくお願いします。	B	私	笑う	请多关照。	Qǐng duō guānzhào.	よろしくお願いします。	自己紹介やビジネスの場面で、今後のお付き合いを願うフォーマルな挨拶です。
phrase_1000	一路平安。	Yílù píng'ān.	道中お気をつけて。	basic	1	A	犬	普通	我明天就要出国了。	Wǒ míngtiān jiù yào chūguó le.	明日から海外へ出発するんだ。	B	私	笑う	一路平安。	Yílù píng'ān.	道中お気をつけて。	旅行に出かける人や、長旅に出発する人に対しての別れの挨拶です。「良い旅を」とも訳せます。
