id	chinese	pinyin	japanese	category	level	example1_speaker	example1_avatar	example1_expression	example1_chinese	example1_pinyin	example1_japanese	example2_speaker	example2_avatar	example2_expression	example2_chinese	example2_pinyin	example2_japanese	notes
phrase_1011	在哪里可以给交通卡充值？	Zài nǎlǐ kěyǐ gěi jiāotōngkǎ chōngzhí?	交通ICカードのチャージはどこでできますか？	transport	1	A	me	normal	我的卡快没钱了。在哪里可以给交通卡充值？	Wǒ de kǎ kuài méi qián le. Zài nǎlǐ kěyǐ gěi jiāotōngkǎ chōngzhí?	カードの残高がなくなりそうです。どこでチャージできますか？	B	sensei	normal	那边的自动售票机就可以充。	Nàbiān de zìdòng shòupiàojī jiù kěyǐ chōng.	あそこの自動券売機でチャージできますよ。	「充值（chōngzhí）」は「チャージする」という意味で、ICカードやスマホ代などで使われます。
phrase_1012	这张票的有效期是多久？	Zhè zhāng piào de yǒuxiàoqī shì duōjiǔ?	この切符の有効期間はどれくらいですか？	transport	1	A	cat	normal	请问这张票的有效期 is 多久？	Qǐngwèn zhè zhāng piào de yǒuxiàoqī shì duōjiǔ?	すみません、この切符の有効期間はいつまでですか？	B	panda	normal	买票后的二十四小时内有效。	Mǎipiào hòu de èrshísì xiǎoshí nèi yǒuxiào.	購入後、24時間以内なら有効です。	「有效期」が有効期限・期間のことです。「多久」は時間や期間の長さを尋ねる疑問詞です。
phrase_1013	有儿童票吗？	Yǒu értóng piào ma?	子ども運賃はありますか？	transport	1	A	me	normal	我带了一个五岁的孩子，有儿童票吗？	Wǒ dài le yí ge wǔ suì de háizi, yǒu értóng piào ma?	5歳の子供を連れているんですが、子供料金はありますか？	B	dog	normal	一米二以下的小孩免费。	Yī mǐ èr yǐxià de xiǎohái miǎnfèi.	身長120センチ以下の子供は無料です。	中国でも子ども用運賃（儿童半价等）があります。身長で基準が設けられていることも多いです。
phrase_1014	有家庭票或团体票吗？	Yǒu jiātíng piào huò tuántǐ piào ma?	ファミリー券や団体券はありますか？	transport	1	A	cat	normal	我们一共六个人。有家庭票或团体票吗？	Wǒmen yígòng liù ge rén. Yǒu jiātíng piào huò tuántǐ piào ma?	全部で6人います。家族券や団体割引はありますか？	B	sensei	normal	五人以上可以买团体票，打八折。	Wǔ rén yǐshàng kěyǐ mǎi tuántǐ piào, dǎ bā zhé.	5人以上なら団体券が買えます、2割引きになります。	「团体」は団体のこと。複数人で旅行する際に便利な表現です。
phrase_1015	请给我开张收据。	Qǐng gěi wǒ kāi zhāng shōujù.	領収書（レシート）を発行してください。	transport	1	A	me	normal	我要报销。请给我开张收据。	Wǒ yào bàoxiāo. Qǐng gěi wǒ kāi zhāng shōujù.	経費精算したいので、領収書を発行してもらえますか？	B	panda	normal	好的，稍等一下。	Hǎo de, shāoděng yíxià.	かしこまりました。少々お待ちください。	「开」は発行する、「收据」はレシート・簡易領収書のこと。会社用の正式な領収書が必要な場合は「发票(fāpiào)」と言い換えます。
phrase_1016	我买错票了，能改签吗？	Wǒ mǎi cuò piào le, néng gǎi qiān ma?	切符を間違えました。変更できますか？	transport	1	A	cat	normal	时间不对，我买错票了，能改签吗？	Shíjiān búdùi, wǒ mǎi cuò piào le, néng gǎi qiān ma?	時間が違いました。間違えて買ってしまったのですが、変更できますか？	B	dog	normal	可以，去那边的人工窗口办理。	Kěyǐ, qù nàbiān de réngōng chuāngkǒu bànlǐ.	できますよ。あちらの有人の窓口で手続きしてください。	「改签」は（同じ区間で）乗車日時などを変更する手続きのことです。
phrase_1017	闸机没开，能帮我一下吗？	Zhá jī méi kāi, néng bāng wǒ yīxià ma?	改札が開きませんでした。助けていただけますか？	transport	1	A	me	normal	不好意思，闸机没开，能帮我一下吗？	Bù hǎoyìsi, zhá jī méi kāi, néng bāng wǒ yīxià ma?	すみません、改札が開きませんでした。助けてもらえますか？	B	sensei	normal	您的卡可能有问题，给我看看。	Nín de kǎ kěnéng yǒu wèntí, gěi wǒ kànkan.	カードに問題があるのかもしれません、見せてください。	「闸机（zhájī）」は自動改札機のことです。駅員にトラブルを知らせるときに使います。
phrase_1018	刷这个二维码能进站吗？	Shuā zhège èrwéimǎ néng jìnzhàn ma?	このQRコードで改札を通れますか？	transport	1	A	cat	normal	请问，刷这个二维码能进站吗？	Qǐngwèn, shuā zhège èrwéimǎ néng jìnzhàn ma?	すみません、このQRコードをかざせば改札内に入れますか？	B	panda	normal	可以的，直接把手机放在扫码器上。	Kěyǐ de, zhíjiē bǎ shǒujī fàng zài sǎomǎqì shàng.	通れますよ、そのままスマホをスキャンの上にかざしてください。	「进站」は駅（改札）の中に入るという意味。「刷二维码」で「QRコードをスキャンする」となります。
phrase_1019	高峰时段有附加费吗？	Gāofēng shíduàn yǒu fùjiā fèi ma?	ピーク時間の追加料金はありますか？	transport	1	A	me	normal	现在叫车，高峰时段有附加费吗？	Xiànzài jiàochē, gāofēng shíduàn yǒu fùjiā fèi ma?	今からタクシーを呼ぶと、ピークタイムの割増料金はかかりますか？	B	dog	normal	有的，现在打车要比平时贵一点。	Yǒu de, xiànzài dǎchē yào bǐ píngshí guì yīdiǎn.	ありますよ、今はタクシー配車が普段より少し高いです。	「高峰时段」がいわゆるラッシュアワー・ピーク時間。「附加费」は割増料金です。
phrase_1020	谢谢，就这些。	Xièxie, jiù zhèxiē.	ありがとうございます。以上で大丈夫です。	transport	1	A	cat	normal	您还需要别的东西吗？	Nín hái xūyào biéde dōngxi ma?	ほかになにか必要なものはありますか？	B	sensei	normal	不用了，谢谢，就这些.	Búyòng le, xièxie, jiù zhèxiē.	いりません、ありがとう。これで全部です。	「就这些」で「これで全部（以上）です」という意味になり、窓口や注文で重宝する締めくくりの言葉です。
